Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,13597.500000,13597.500000,13509.000000,13555.000000,13555.000000,1318
2016-06-16,13453.000000,13545.000000,13453.000000,13545.000000,13545.000000,188
2016-06-17,13270.000000,13322.500000,13182.000000,13182.000000,13182.000000,816
2016-06-20,13375.000000,13447.700195,13375.000000,13402.000000,13402.000000,1836
2016-06-21,13352.299805,13352.299805,13300.000000,13329.799805,13329.799805,294
2016-06-22,13190.000000,13237.900391,13170.000000,13170.000000,13170.000000,458
2016-06-23,13198.000000,13200.000000,13127.400391,13141.599609,13141.599609,986
2016-06-24,13130.000000,13323.000000,13130.000000,13253.000000,13253.000000,7156
2016-06-27,13130.000000,13310.000000,13096.900391,13271.000000,13271.000000,2758
2016-06-28,13278.000000,13327.000000,13257.500000,13299.000000,13299.000000,661
2016-06-29,13357.000000,13357.000000,13261.000000,13261.099609,13261.099609,2497
2016-06-30,13238.000000,13238.000000,13069.000000,13069.000000,13069.000000,753
2016-07-01,13197.000000,13330.900391,13197.000000,13289.200195,13289.200195,213
2016-07-04,13100.000000,13100.000000,13100.000000,13100.000000,13100.000000,25
2016-07-05,13482.599609,13600.000000,13482.599609,13600.000000,13600.000000,185
2016-07-06,13715.000000,13860.000000,13715.000000,13837.099609,13837.099609,1445
2016-07-07,13827.000000,13870.000000,13827.000000,13840.000000,13840.000000,1497
2016-07-08,13882.000000,13882.000000,13754.799805,13791.700195,13791.700195,707
2016-07-11,13927.799805,13960.000000,13918.000000,13918.799805,13918.799805,457
2016-07-12,13799.000000,13799.000000,13574.799805,13722.000000,13722.000000,5843
2016-07-13,13708.599609,13832.799805,13591.599609,13687.099609,13687.099609,672
2016-07-14,13687.099609,13687.099609,13563.400391,13643.599609,13643.599609,626
2016-07-15,13720.000000,13720.000000,13569.000000,13585.599609,13585.599609,650
2016-07-18,13699.000000,13699.000000,13548.599609,13548.599609,13548.599609,572
2016-07-19,13769.599609,13797.799805,13698.299805,13698.299805,13698.299805,1586
2016-07-20,13850.200195,13879.000000,13803.000000,13879.000000,13879.000000,2238
2016-07-21,13868.000000,13897.000000,13835.000000,13835.000000,13835.000000,914
2016-07-22,13890.000000,13975.000000,13824.599609,13824.599609,13824.599609,1791
2016-07-25,13890.000000,13925.400391,13841.400391,13870.500000,13870.500000,721
2016-07-26,13869.799805,13900.000000,13793.099609,13808.799805,13808.799805,933
2016-07-27,13897.200195,13940.000000,13850.000000,13855.700195,13855.700195,1046
2016-07-28,14038.000000,14231.400391,13975.000000,14225.400391,14225.400391,9648
2016-07-29,14351.000000,14380.000000,14200.000000,14237.500000,14237.500000,11180
2016-08-01,14363.000000,14530.000000,14363.000000,14500.000000,14500.000000,967
2016-08-02,14392.000000,14438.000000,14305.000000,14438.000000,14438.000000,816
2016-08-03,14365.400391,14365.400391,14242.000000,14275.500000,14275.500000,3351
2016-08-04,14299.000000,14390.000000,14299.000000,14390.000000,14390.000000,1576
2016-08-05,14496.000000,14500.000000,14350.000000,14360.000000,14360.000000,1187
2016-08-08,14302.000000,14302.000000,14150.000000,14215.299805,14215.299805,515
2016-08-09,14205.500000,14205.500000,14167.000000,14167.000000,14167.000000,1551
2016-08-10,14146.799805,14158.500000,14060.900391,14118.599609,14118.599609,1444
2016-08-11,14140.000000,14140.000000,14020.000000,14075.000000,14075.000000,1456
2016-08-12,14055.000000,14115.200195,14055.000000,14115.200195,14115.200195,854
2016-08-15,13903.799805,13914.500000,13849.000000,13898.200195,13898.200195,1382
2016-08-16,13835.000000,13835.000000,13746.000000,13784.799805,13784.799805,784
2016-08-17,13877.599609,13959.000000,13823.000000,13905.000000,13905.000000,758
2016-08-18,13823.000000,13852.000000,13799.900391,13852.000000,13852.000000,706
2016-08-19,13861.400391,13875.000000,13840.599609,13860.000000,13860.000000,1209
2016-08-22,13827.799805,13905.000000,13827.799805,13899.299805,13899.299805,7994
2016-08-23,13960.000000,14118.000000,13960.000000,14118.000000,14118.000000,1568
2016-08-24,14080.599609,14080.599609,13968.200195,13968.200195,13968.200195,361
2016-08-25,13990.299805,13990.299805,13908.099609,13961.500000,13961.500000,259
2016-08-26,13960.000000,14280.000000,13959.000000,14279.900391,14279.900391,1437
2016-08-29,14320.000000,14410.000000,14320.000000,14378.799805,14378.799805,1068
2016-08-30,14405.000000,14466.000000,14401.200195,14401.200195,14401.200195,2484
2016-08-31,14435.000000,14447.000000,14424.799805,14447.000000,14447.000000,322
2016-09-01,14500.000000,14535.000000,14465.000000,14465.000000,14465.000000,887
2016-09-02,14385.000000,14446.200195,14344.000000,14344.000000,14344.000000,521
2016-09-05,14344.000000,14344.000000,14344.000000,14344.000000,14344.000000,0
2016-09-06,14323.000000,14445.000000,14273.599609,14432.200195,14432.200195,12266
2016-09-07,14439.200195,14502.799805,14426.000000,14480.000000,14480.000000,1849
2016-09-08,14518.000000,14635.000000,14518.000000,14635.000000,14635.000000,1662
2016-09-09,14550.000000,14550.000000,14400.400391,14400.400391,14400.400391,2671
2016-09-12,14593.500000,14665.000000,14508.400391,14530.000000,14530.000000,502
2016-09-13,14672.000000,14672.000000,14488.299805,14514.099609,14514.099609,3386
2016-09-14,14672.500000,14725.000000,14602.000000,14628.400391,14628.400391,743
2016-09-15,14650.000000,14900.000000,14650.000000,14898.099609,14898.099609,1457
2016-09-19,14898.099609,15335.000000,14898.099609,15230.000000,15230.000000,1274
2016-09-20,15350.000000,15505.400391,15304.000000,15486.099609,15486.099609,2150
2016-09-21,15504.000000,15600.000000,15479.200195,15583.000000,15583.000000,1909
2016-09-22,15615.000000,15815.000000,15615.000000,15815.000000,15815.000000,6895
2016-09-23,15858.000000,15940.000000,15830.000000,15940.000000,15940.000000,1426
2016-09-26,15954.400391,15954.400391,15822.000000,15902.400391,15902.400391,1643
2016-09-27,15840.200195,15895.799805,15811.799805,15815.000000,15815.000000,782
2016-09-28,15990.000000,16190.000000,15990.000000,16048.000000,16048.000000,2135
